Word,POS Tag,Frequency
dinilai,NN,5
PeduliLindungi,,967
pekerja,NN,7
bpjs,NN,13
ketenagakerjaan,NN,11
puji,NN,2
gubernur,NN,21
olly,RB,5
cahayasiangid,JJ,1
sulut,NN,5
sulawesi,NN,12
utara,JJ,32
prof,NN,4
dr,NN,66
hc,NN,1
dondokambeyse,JJ,1
od,NN,2
perhatian,JJ,5
ekstra,NN,1
bidang,NN,25
perlindungan,JJ,18
sosial,JJ,36
masyarakat,NN,604
kepala,NN,52
kantor,NN,55
wilayah,NN,42
maluku,NN,4
mintje,NN,2
wattu,NN,3
menurutnya,NN,17
tokoh,JJ,2
penggagas,NN,2
rentan,NN,6
tokohtokoh,NN,1
agama,NN,7
jaminan,NN,20
program,NN,95
perkasa,NN,1
keagamaan,NN,8
sopir,NN,1
pesona,NN,1
petani,NN,3
buruh,NN,3
tani,NN,5
perangkat,NN,26
desa,NN,12
“apa,,1
letakkan,JJ,2
diteruskan,NN,1
memimpin,NN,4
pondasi,NN,1
kuat”,,1
acara,NN,12
paritrana,VBZ,3
award,RB,14
2023,CD,99
tingkat,NN,50
provinsi,NN,31
rabu,NN,50
1892024,CD,1
novotel,JJ,1
hotel,NN,23
manado,NN,4
hak,NN,7
dasar,NN,11
fundamental,JJ,1
meliputi,NN,8
tua,NN,5
kecelakaan,NN,3
kerja,NN,42
kematian,JJ,7
pensiun,NN,1
kehilangan,VBD,5
pekerjaan,JJ,11
sambutannya,NN,1
komitmen,NNS,7
pemerintah,VBP,254
mendukung,NN,36
kesehatan,NN,863
tenaga,NN,32
“pemprov,,1
6,CD,67
berturutturut,NN,1
meraih,NN,4
berkat,NN,3
dukungan,JJ,9
kabupatenkota,NN,2
sinergitas,NNS,2
lakukan,JJ,34
melaksanakan,NN,37
tugas,NN,6
tanggung,NN,6
melayani,NN,15
mudahmudahan,NN,3
berkelanjutan,NN,2
masamasa,NN,1
tahuntahun,NN,2
depan”,,1
mengapresiasi,NN,4
membantu,NN,56
pandemi,NN,73
covid19,NN,389
silam,JJ,1
sosialisasi,JJ,23
ditingkatkan,NN,5
manfaatnya,NN,5
dirasakan,JJ,13
lapisan,JJ,2
“saya,,27
mendorong,RB,37
inovasi,JJ,30
investasi,NN,3
layanan,NN,277
akses,VBZ,58
kualitas,NNS,29
pelayanan,JJ,182
meningkattentunya,NN,1
ditopang,NN,1
sektor,NN,24
swasta,NN,17
programprogram,NN,2
berkelanjutan”,,1
periode,NN,7
pilihan,NN,15
meningkatkan,NN,31
monitoring,NN,3
evaluasi,JJ,4
implementasi,JJ,29
pelaksanaannya,NN,5
berjalan,NN,28
efektif,VBP,12
sesuai,NN,64
target,NN,10
langkahlangkah,NN,9
menciptakan,NN,9
lingkungan,JJ,41
aman,NN,33
sejahtera,NN,2
utara”,,1
kegiatan,NN,88
didampingi,JJ,13
sekdaprov,NN,1
steve,VBP,1
kepel,NN,1
menyerahkan,NN,2
penghargaan,NN,40
pihakpihak,NN,1
badan,NN,31
usaha,JJ,41
daerah,NN,79
dondokambey,JJ,1
simbolis,NN,1
santunan,NN,5
ahli,NN,12
waris,WRB,1
enggi,VB,1
your,PRP$,25
email,NN,119
address,NN,4
will,MD,2
not,RB,3
be,VB,3
published,VBN,2
required,JJ,2
fields,NNS,2
are,VBP,10
marked,JJ,2
comment,NN,7
name,NN,6
website,NN,27
save,VB,3
my,PRP$,3
and,CC,22
in,IN,35
this,DT,5
browser,NN,10
for,IN,7
the,DT,23
next,JJ,4
time,NN,7
i,JJ,23
notify,IN,2
me,PRP,4
of,IN,23
followup,NN,1
comments,NNS,6
by,IN,17
new,JJ,4
posts,NNS,5
δ,NN,8
jl,NN,17
politeknik,FW,1
kelurahan,FW,20
kairagi,FW,1
ii,NN,15
kecamatan,NN,21
mapanget,NN,1
kota,NN,168
no,DT,30
telp,NN,2
0431,CD,1
7246837,CD,1
0882022399555,CD,1
mobile,JJ,218
2021,CD,77
cahaya,NN,2
siang,NN,5
developed,VBN,2
wp,NN,2
development,NN,3
login,NN,35
to,TO,28
account,NN,6
below,IN,2
remember,VB,2
please,VB,3
enter,VB,5
username,NN,4
or,CC,4
reset,VB,7
password,NN,9
06,CD,17
okt,JJ,19
2024,CD,199
polrestabes,NN,8
surabaya,VBD,30
22,CD,15
menit,NN,36
pasuruan,JJ,12
1,CD,142
jam,NN,104
blitar,NN,4
2,CD,122
balai,NN,6
kekarantinaan,NN,4
bbkk,NN,3
rosidi,NN,5
roslan,NN,2
sip,VBP,7
skm,NN,7
sh,NN,6
mph,NN,2
mh,NN,5
ketua,NN,32
fk,NN,1
patuh,NN,2
jatim,NN,16
ahmad,NN,5
bajuri,NN,1
meninjau,NN,1
salah,NN,119
stan,NN,1
memorandum,NN,7
haji,NN,25
umrah,JJ,41
expo,JJ,7
royal,NN,2
plazaarif,NN,1
alfiansyahmg29,NN,1
memorandumcoid,NN,1
upaya,JJ,46
terbaik,NN,22
calon,NN,35
jemaah,NN,30
berinovasi,NN,2
langkah,NN,12
konkret,VB,13
aplikasi,NN,1120
SatuSehat,,566
